fetched_at,SETTLEMENTDATE,REGIONID,PRICE,PRICE_STATUS,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,SCHEDULEDGENERATION,SEMISCHEDULEDGENERATION,NETINTERCHANGE
2026-08-20T14:33:27.373Z,2026-08-21T00:35:00,NSW1,66.90002,,,,7731.63,5885.77756,762.78244,-1062.35
2026-08-20T14:33:27.373Z,2026-08-21T00:35:00,QLD1,60.38131,,,,5898.06,5061.58225,1466.31775,645.44
2026-08-20T14:33:27.373Z,2026-08-21T00:35:00,SA1,69.09144,,,,1598.9,375.0005,589.5995,-616.51
2026-08-20T14:33:27.373Z,2026-08-21T00:35:00,TAS1,56.26623,,,,1034.33,1235.47047,128.21953,329.36
2026-08-20T14:33:27.373Z,2026-08-21T00:35:00,VIC1,61.32249,,,,5683.13,4132.0017,2309.3083,806.8
2026-08-21T02:30:18.885Z,2026-08-21T12:30:00,NSW1,73.15,,,,7312.9,4178.80551,2475.11449,-594.41
2026-08-21T02:30:18.885Z,2026-08-21T12:30:00,QLD1,-6,,,,5029.52,3200.37333,2816.05667,1066.28
2026-08-21T02:30:18.885Z,2026-08-21T12:30:00,SA1,54.43,,,,1154.34,326.53338,515.44662,-305.53
2026-08-21T02:30:18.885Z,2026-08-21T12:30:00,TAS1,41.73895,,,,968.82,501.90495,291.52505,-175.4
2026-08-21T02:30:18.885Z,2026-08-21T12:30:00,VIC1,41.22,,,,6637.98,4593.99598,2203.81402,166.39
2026-08-21T02:34:14.783Z,2026-08-21T12:35:00,NSW1,73.15,,,,7264.87,4222.06295,2534.51705,-443.38
2026-08-21T02:34:14.783Z,2026-08-21T12:35:00,QLD1,-6.14,,,,4861.45,3199.56126,2630.95874,1046.49
2026-08-21T02:34:14.783Z,2026-08-21T12:35:00,SA1,101,,,,1180.95,338.80923,539.47077,-295.95
2026-08-21T02:34:14.783Z,2026-08-21T12:35:00,TAS1,33.40794,,,,960.72,576.90111,314.91889,-68.9
2026-08-21T02:34:14.783Z,2026-08-21T12:35:00,VIC1,35.94014,,,,6730.07,4458.62618,2182.24382,-79.85
2026-08-21T02:39:17.420Z,2026-08-21T12:40:00,NSW1,66.53,,,,7376.05,4188.57301,2661.02699,-465.78
2026-08-21T02:39:17.420Z,2026-08-21T12:40:00,QLD1,-6,,,,4909.21,3201.44123,2641.33877,1006.92
2026-08-21T02:39:17.420Z,2026-08-21T12:40:00,SA1,87.65,,,,1194.46,376.5058,508.2142,-303.4
2026-08-21T02:39:17.420Z,2026-08-21T12:40:00,TAS1,30.14154,,,,945.85,580.29949,295.15051,-70.4
2026-08-21T02:39:17.420Z,2026-08-21T12:40:00,VIC1,35.45,,,,6725.66,4399.99704,2298.69296,-19.76
2026-08-21T02:44:14.664Z,2026-08-21T12:45:00,NSW1,73.15,,,,7269.21,4241.51716,2663.06284,-306.62
2026-08-21T02:44:14.664Z,2026-08-21T12:45:00,QLD1,-6,,,,4853.98,3201.48463,2542.78537,958.21
